customer_id,first_name,last_name,home_state,phone_number,email
1,Aurora,M,Colorado,555-1000,test1@example.com
2,Sofia,G,Idaho,555-1001,test2@example.com
3,Eliana,C,Georgia,555-1002,test3@example.com
4,Madeline,M,Maryland,555-1003,test4@example.com
5,Avery,J,Florida,555-1004,test5@example.com
6,Logan,T,Iowa,555-1005,test6@example.com
7,Sofia,D,Rhode Island,555-1006,test7@example.com
8,Madison,W,Connecticut,555-1007,test8@example.com
9,Riley,D,Nevada,555-1008,test9@example.com
10,Robert,M,New Hampshire,555-1009,test10@example.com
11,Ryan,R,Wisconsin,555-1010,test11@example.com
12,Madeline,T,New York,555-1011,test12@example.com
13,Thomas,G,Montana,555-1012,test13@example.com
14,Nicholas,P,Iowa,555-1013,test14@example.com
15,Aiden,M,Nebraska,555-1014,test15@example.com
16,Sadie,L,Florida,555-1015,test16@example.com
17,Riley,H,Missouri,555-1016,test17@example.com
18,Riley,P,Tennessee,555-1017,test18@example.com
19,Riley,J,New Hampshire,555-1018,test19@example.com
20,Michael,M,South Dakota,555-1019,test20@example.com
21,Avery,M,Ohio,555-1020,test21@example.com
22,Mila,S,California,555-1021,test22@example.com
23,Amelia,J,Mississippi,555-1022,test23@example.com
24,Joseph,L,Illinois,555-1023,test24@example.com
25,Alexander,W,Florida,555-1024,test25@example.com
26,Avery,W,South Carolina,555-1025,test26@example.com
27,Benjamin,T,Florida,555-1026,test27@example.com
28,Eliana,L,Connecticut,555-1027,test28@example.com
29,Sofia,T,Missouri,555-1028,test29@example.com
30,Alexander,G,Florida,555-1029,test30@example.com
31,Alexander,W,North Dakota,555-1030,test31@example.com
32,Nora,H,Oregon,555-1031,test32@example.com
33,Aaliyah,J,Arkansas,555-1032,test33@example.com
34,Penelope,B,New Jersey,555-1033,test34@example.com
35,Madison,T,Massachusetts,555-1034,test35@example.com
36,Michael,J,Illinois,555-1035,test36@example.com
37,Lucas,M,California,555-1036,test37@example.com
38,Evelyn,R,Kansas,555-1037,test38@example.com
39,Aaliyah,G,Arkansas,555-1038,test39@example.com
40,Abigail,M,New York,555-1039,test40@example.com
41,Stella,S,Maine,555-1040,test41@example.com
42,Alexander,M,North Carolina,555-1041,test42@example.com
43,Isla,W,Florida,555-1042,test43@example.com
44,Andrew,H,Utah,555-1043,test44@example.com
45,Evelyn,L,Vermont,555-1044,test45@example.com
46,Isla,W,California,555-1045,test46@example.com
47,Violet,A,Pennsylvania,555-1046,test47@example.com
48,Thomas,B,New York,555-1047,test48@example.com
49,Noah,H,Maryland,555-1048,test49@example.com
50,Sadie,M,Indiana,555-1049,test50@example.com
51,Benjamin,B,Washington,555-1050,test51@example.com
52,Harper,B,New Mexico,555-1051,test52@example.com
53,Isabella,L,Massachusetts,555-1052,test53@example.com
54,Abigail,J,Iowa,555-1053,test54@example.com
55,Thomas,B,California,555-1054,test55@example.com
56,Daniel,Y,Delaware,555-1055,test56@example.com
57,Sloane,S,Michigan,555-1056,test57@example.com
58,Jordan,T,South Carolina,555-1057,test58@example.com
59,David,H,Florida,555-1058,test59@example.com
60,Logan,L,Hawaii,555-1059,test60@example.com
61,Ava,C,Florida,555-1060,test61@example.com
62,Nora,M,Ohio,555-1061,test62@example.com
63,Jordan,M,Arizona,555-1062,test63@example.com
64,Jacob,M,North Carolina,555-1063,test64@example.com
65,Evelyn,W,Hawaii,555-1064,test65@example.com
66,Evelyn,R,Ohio,555-1065,test66@example.com
